mass_min_kg_exclusive,mass_max_kg_inclusive,inertia_class_kg,inertia_class_lb
,346.0,454,1000
346.0,402.0,510,1125
402.0,459.0,567,1250
459.0,516.0,624,1375
516.0,573.0,680,1500
573.0,629.0,737,1625
629.0,686.0,794,1750
686.0,743.0,850,1875
743.0,799.0,907,2000
799.0,856.0,964,2125
856.0,913.0,1021,2250
913.0,969.0,1077,2375
969.0,1026.0,1134,2500
1026.0,1083.0,1191,2625
1083.0,1140.0,1247,2750
1140.0,1196.0,1304,2875
1196.0,1253.0,1361,3000
1253.0,1310.0,1417,3125
1310.0,1366.0,1474,3250
1366.0,1423.0,1531,3375
1423.0,1480.0,1588,3500
1480.0,1536.0,1644,3625
1536.0,1593.0,1701,3750
1593.0,1650.0,1758,3875
1650.0,1735.0,1814,4000
1735.0,1848.0,1928,4250
1848.0,1962.0,2041,4500
1962.0,2075.0,2155,4750
2075.0,2189.0,2268,5000
2189.0,2302.0,2381,5250
2302.0,,2495,5500
